,source,target,oneway,lanes,bridge,frequency,highway,num of detections,width,osmid,geometry,ref,service,maxspeed,length,access,name,tunnel,log_date
222,4807661840,2503944133,False,,,0.3333333333333333,track,1,,117627664,"LINESTRING (2.61149 39.5623527, 2.6112341 39.5624765, 2.6111385 39.5625161, 2.6109599 39.56257, 2.6108978 39.5626027)",,,,58.09,,Camí de la bruixa Joana,,"03/11/2020, 19:57:46"
223,4807661840,1324747872,False,,,0.3333333333333333,track,1,,117627664,"LINESTRING (2.61149 39.5623527, 2.61156 39.5623204, 2.6116432 39.5622729, 2.6118953 39.5620258, 2.6121541 39.5617879, 2.6122665 39.561692, 2.6123995 39.5616194)",,,,113.692,,Camí de la bruixa Joana,,"03/11/2020, 19:57:46"
224,4807661840,4807661855,False,,,0.3333333333333333,path,1,,488473706,"LINESTRING (2.61149 39.5623527, 2.6114564 39.5622844, 2.6115852 39.5621655, 2.611675 39.5619805, 2.6118065 39.5615783, 2.6118668 39.5614004, 2.6119701 39.561203, 2.6120586 39.5610748, 2.6122356 39.5609693, 2.6123469 39.5609434, 2.6126339 39.5609197, 2.6130778 39.5608545, 2.6131717 39.5608359, 2.6133487 39.560747, 2.6134158 39.5606281, 2.6135553 39.5605526)",,,,301.771,,,,"03/11/2020, 19:57:46"
225,1261877527,1248430217,False,,,0.3333333333333333,footway,1,,110514353,"LINESTRING (2.6238325 39.5670002, 2.6238419 39.5669527, 2.6238313 39.566868, 2.6237484 39.5666517, 2.623589 39.5663887, 2.6235586 39.5662467, 2.6236115 39.5661264, 2.6235954 39.5659069, 2.6235894 39.565734, 2.6236751 39.5653933, 2.6235763 39.5651548, 2.6234835 39.5649261, 2.6234296 39.5647296, 2.6234073 39.5645084, 2.6233754 39.5643634, 2.6232893 39.5641594, 2.6232497 39.5641389)",,,,330.34499999999997,,Sender de llevant,,"03/11/2020, 19:57:46"
226,1261877527,1248507094,False,,,0.3333333333333333,"['steps', 'footway']",1,,"[110514353, 110514357]","LINESTRING (2.6238325 39.5670002, 2.6238259 39.5670465, 2.623816 39.5670785)",,,,8.837,,Sender de llevant,,"03/11/2020, 19:57:46"
227,1261877527,2263220453,False,,,0.3333333333333333,footway,1,,"[110514354, 117626258]","LINESTRING (2.6238325 39.5670002, 2.6237678 39.5669543, 2.623679 39.5669108, 2.6236069 39.5668874, 2.6235444 39.5668652, 2.6234731 39.5668359, 2.6233793 39.5668268, 2.6230991 39.5669004, 2.6230066 39.5669688)",,,,80.55199999999999,,Sender de llevant,,"03/11/2020, 19:57:46"
228,1404437785,1404437735,False,,,0.3333333333333333,service,1,,126771497,,,parking_aisle,,21.532,,,,"03/11/2020, 19:57:46"
229,1404437785,368249821,False,,,0.3333333333333333,tertiary,1,,374831343,,,,50,42.494,,Avinguda de Joan Miró,,"03/11/2020, 19:57:46"
230,1404437785,368249216,False,,,0.3333333333333333,tertiary,1,,374831343,,,,50,6.886,,Avinguda de Joan Miró,,"03/11/2020, 19:57:46"
231,700015898,302770186,False,,,0.5,tertiary,1,,34176488,,Ma-1046,,40,10.75,,Carrer de Francesc Vidal Sureda,,"03/11/2020, 19:57:46"
232,700015898,6370993512,False,,,0.5,tertiary,1,,34176488,"LINESTRING (2.6160511 39.5578549, 2.6154414 39.5579493, 2.6152418 39.5579805)",Ma-1046,,40,70.773,,Carrer de Francesc Vidal Sureda,,"03/11/2020, 19:57:46"
233,368243994,368244146,False,,,0.5,residential,1,,32726131,,,,,49.407,,Carrer de Neptú,,"03/11/2020, 19:57:46"
234,368243994,1225506208,True,,,0.5,residential,1,,32726106,"LINESTRING (2.6033818 39.5644961, 2.6035548 39.5643699, 2.6037682 39.5642178)",,,,45.33,,Carrer de la Mare de Deu de la Bonanova,,"03/11/2020, 19:57:46"
235,1261877534,699836984,False,,,0.3333333333333333,path,1,,110514360,,,,,26.054,,,,"03/11/2020, 19:57:46"
236,1261877534,317812923,False,,,0.3333333333333333,service,1,,28913499,"LINESTRING (2.6189969 39.5648399, 2.6188905 39.5648886, 2.6187611 39.5649384)",,driveway,,23.005,no,,,"03/11/2020, 19:57:46"
237,1261877534,317812912,False,,,0.3333333333333333,service,1,,28913499,"LINESTRING (2.6189969 39.5648399, 2.619047 39.5647838, 2.6191306 39.5646728)",,driveway,,21.845,no,,,"03/11/2020, 19:57:46"
238,4807661855,4807661898,False,,,0.3333333333333333,path,1,,488473704,"LINESTRING (2.6135553 39.5605526, 2.6136585 39.5604761, 2.6137859 39.560382, 2.6139757 39.5603125)",,,,45.411,,,,"03/11/2020, 19:57:46"
239,4807661855,4807661840,False,,,0.3333333333333333,path,1,,488473706,"LINESTRING (2.6135553 39.5605526, 2.6134158 39.5606281, 2.6133487 39.560747, 2.6131717 39.5608359, 2.6130778 39.5608545, 2.6126339 39.5609197, 2.6123469 39.5609434, 2.6122356 39.5609693, 2.6120586 39.5610748, 2.6119701 39.561203, 2.6118668 39.5614004, 2.6118065 39.5615783, 2.611675 39.5619805, 2.6115852 39.5621655, 2.6114564 39.5622844, 2.61149 39.5623527)",,,,301.7710000000001,,,,"03/11/2020, 19:57:46"
240,4807661855,4807661893,False,,,0.3333333333333333,path,1,,488473706,"LINESTRING (2.6135553 39.5605526, 2.6135338 39.5604141, 2.6134815 39.5603396, 2.6134017 39.5602455)",,,,37.43,,,,"03/11/2020, 19:57:46"
241,317813025,4807660710,False,,,0.25,track,1,,108910151,,,,,6.995,no,,,"03/11/2020, 19:57:46"
242,317813025,317813003,False,,,0.25,footway,1,,108910149,"LINESTRING (2.6195795 39.5665693, 2.6195701 39.5665073, 2.6195312 39.5663749, 2.6194682 39.5662178, 2.6193855 39.5661375)",,,,51.721000000000004,,,,"03/11/2020, 19:57:46"
243,317813025,317813003,False,,,0.25,service,1,,117628948,"LINESTRING (2.6195795 39.5665693, 2.6194591 39.5665528, 2.6194163 39.5665327, 2.6193599 39.5664984, 2.6192864 39.5664286, 2.6192659 39.5663772, 2.6192522 39.566339, 2.6192522 39.5663114, 2.6192676 39.5662745, 2.6193309 39.5661968, 2.6193855 39.5661375)",,,,66.986,designated,Carretera vella,,"03/11/2020, 19:57:46"
244,317813025,1248430254,False,,,0.25,service,1,,117628948,"LINESTRING (2.6195795 39.5665693, 2.6198274 39.5665302, 2.6200707 39.5664456, 2.6202181 39.5663399, 2.6203689 39.5662433)",,,,78.632,designated,Carretera vella,,"03/11/2020, 19:57:46"
245,4807661858,1225505809,False,,,0.3333333333333333,tertiary,1,,34176488,,Ma-1046,,40,65.894,,Carrer de Francesc Vidal Sureda,,"03/11/2020, 19:57:46"
246,4807661858,700015706,False,,,0.3333333333333333,tertiary,1,,34176488,"LINESTRING (2.6108143 39.5592293, 2.610869 39.5591896, 2.6113953 39.558852)",Ma-1046,,40,65.133,,Carrer de Francesc Vidal Sureda,,"03/11/2020, 19:57:46"
